,sender prefixes,nb of bytes,% of traffic (bytes)
6320,103.203.0.0,605663194,0.018946983127839375
1483,65.205.0.0,592194257,0.018525633895102388
16136,213.183.0.0,591077213,0.01849068936812647
8992,204.161.0.0,590378463,0.018468830347152878
3513,212.83.0.0,589022755,0.01842641968582041
7304,113.115.0.0,581590847,0.018193927044896193
2192,172.127.0.0,576316920,0.018028942599949953
101,73.248.0.0,575693723,0.018009447106148626
2217,111.23.0.0,564349226,0.017654556805099846
2526,110.7.0.0,562934525,0.017610300663661052
2532,212.216.0.0,561921114,0.017578598091490937
56,110.204.0.0,549945076,0.017203951270993598
2436,52.103.0.0,547224246,0.017118835449833565
2317,213.248.0.0,545390127,0.01706145864026067
11024,101.130.0.0,541303974,0.01693363137138296
2195,123.181.0.0,536165276,0.016772877300028473
1400,187.243.0.0,528718457,0.01653991819776367
2169,104.97.0.0,527659884,0.016506802821149608
2454,106.58.0.0,524741807,0.01641551651510946
2942,213.236.0.0,522008287,0.01633000371223042
1220,106.3.0.0,516335317,0.016152535990996003
7971,16.120.0.0,508914336,0.015920385179799417
2153,107.61.0.0,506562768,0.01584682099485083
334,198.189.0.0,501243788,0.015680427155311497
0,77.102.0.0,495602494,0.01550395035550586
956,196.243.0.0,492070204,0.015393449602454262
19,96.114.0.0,485439943,0.015186034912995403
3866,196.149.0.0,483449086,0.01512375486302271
2385,96.124.0.0,471768154,0.014758339853964986
1132,205.59.0.0,470168488,0.014708297445886647
21613,101.173.0.0,469936761,0.014701048321946544
173,32.231.0.0,469926254,0.01470071963109378
2445,52.114.0.0,468859870,0.014667359902690344
22524,110.105.0.0,468150409,0.01464516580912477
8842,16.116.0.0,466602762,0.014596750713263997
2104,121.39.0.0,457122680,0.014300184972628065
73,193.65.0.0,448651265,0.014035173397442395
20313,149.202.0.0,448416495,0.014027829079225621
118,108.133.0.0,448367598,0.014026299432644518
3270,93.172.0.0,447751588,0.014007028770018484
100,110.202.0.0,447672458,0.014004553343428658
21260,169.88.0.0,443914394,0.013886989694346591
4020,177.218.0.0,443427258,0.013871750601622454
3496,2.98.0.0,442719248,0.01384960189974122
3485,177.219.0.0,434427196,0.013590201343630879
2289,111.81.0.0,434326807,0.013587060870991853
2162,31.91.0.0,429326229,0.013430627612484413
1958,54.77.0.0,426480943,0.013341618429872802
3592,169.121.0.0,423400264,0.013245245439713374
2012,97.144.0.0,420507628,0.013154755005376396
5296,199.199.0.0,414827213,0.012977054381943555
4003,212.99.0.0,413511747,0.01293590261252095
27,5.63.0.0,412812094,0.01291401534296641
2482,101.65.0.0,402934205,0.012605004991874034
2263,76.161.0.0,402733599,0.012598729427278072
3129,169.47.0.0,397866082,0.012446458720741675
5591,206.54.0.0,394527976,0.01234203263263281
18600,188.85.0.0,393571372,0.012312107155853678
2424,144.127.0.0,390010809,0.012200721937542708
3304,93.217.0.0,388779440,0.012162200977546674
7070,8.27.0.0,384974149,0.01204315992455259
59,213.207.0.0,381220595,0.011925737361960098
5597,198.176.0.0,378511155,0.011840977854573071
2981,166.240.0.0,375059996,0.011733015125465101
11093,134.237.0.0,373920263,0.011697360817699386
1970,54.149.0.0,372122993,0.011641136756697302
1128,111.46.0.0,368387830,0.011524289520408532
2976,129.122.0.0,367541935,0.011497827357193569
2167,157.165.0.0,365743703,0.01144157320191145
314,183.16.0.0,360674364,0.011282988890608065
7741,197.61.0.0,358906803,0.011227694217304164
3548,213.237.0.0,357943295,0.011197552762448748
