,sp,ibyt
44455,51461,66234344
6167,7915,66146642
44334,51340,66137536
44438,51444,66032714
45385,52391,65992885
44689,51695,65117221
42437,49443,65115224
30472,37114,64871524
45713,52719,64772147
52266,59273,64674134
58337,65344,64670297
52321,59328,64662788
5843,7517,64552407
51693,58700,64529986
38793,45684,64327318
49706,56712,64274698
51443,58450,64263241
49281,56287,64225788
27159,33677,64124985
3906,5107,64040794
50446,57453,63935417
14963,18813,63873938
6045,7760,63435616
45592,52598,63229842
42464,49470,63116137
28806,35373,63062325
42365,49371,63016374
4825,6244,62902650
2372,3495,62806002
3911,5112,62584478
45349,52355,62536256
47933,54939,62038900
1160,2195,62036523
43224,50230,61998796
44682,51688,61876916
55919,62926,61784459
28857,35428,61622969
51763,58770,61618414
8290,10555,61564411
44439,51445,61483040
55434,62441,61364599
62515,28273,61267667
52559,59566,61066726
28855,35426,61061180
19091,23809,60618853
42364,49370,60583366
29037,35614,60542296
58190,65197,60519910
53215,60222,60469994
21673,27015,60346429
34305,41073,60238775
45133,52139,59570960
55414,62421,59508081
44721,51727,59470602
28317,34871,59460376
27429,33952,59427165
45684,52690,59374821
41216,48189,59346089
52339,59346,58930513
35573,42378,58839279
28856,35427,58835927
45050,52056,58777479
5911,7602,58585052
52922,59929,58436042
42489,49495,58419607
9186,11660,58361297
50673,57680,58141598
42176,49182,58129653
50680,57687,57936646
53597,60604,57858036
42229,49235,57576980
53561,60568,57558739
29209,35794,57512939
42175,49181,57104378
36077,42899,56960173
53185,60192,56920551
50496,57503,56820251
43114,50120,56759498
52794,59801,56563129
44443,51449,56515051
14877,18713,56255467
46949,53955,56245291
23682,29543,56079757
28976,35549,55939432
27074,33592,55875869
32820,39529,55762659
42466,49472,55704843
45159,52165,55703278
51125,58132,55672014
49011,56017,55609688
44766,51772,55563022
55249,62256,55555079
28974,35547,55439097
16388,20502,55393985
48690,55696,55376841
36317,43143,55210337
44387,51393,55166744
48408,55414,55101996
45229,52235,54793818
46816,53822,54761433
27053,33571,54683310
44437,51443,54575734
43862,50868,54553225
51059,58066,54504529
48407,55413,54469839
38924,45823,54450995
43641,50647,54425268
35619,42425,54312835
41795,48787,54215024
47652,54658,54211864
33283,40011,54139474
45114,52120,54070810
45346,52352,54069040
54916,61923,53973338
42559,49565,53826351
46729,53735,53780045
45191,52197,53768375
28975,35548,53723291
51415,58422,53640599
22125,27578,53489142
51599,58606,53465367
29939,36552,53312781
42612,49618,53265575
42237,49243,53035402
49493,56499,52974995
45266,52272,52935132
43705,50711,52803506
52658,59665,52760653
42915,49921,52728998
2357,3480,52720445
34110,40874,52639977
58184,65191,52636917
32620,39317,52561312
41926,48923,52530980
51450,58457,52473777
52792,59799,52266002
35423,42224,52236807
816,1813,52112547
50399,57406,52102993
44388,51394,52050948
37063,43916,51980095
41403,48379,51746420
45183,52189,51673740
55589,62596,51661417
26558,33061,51641136
38572,45461,51578940
30170,36796,51518031
51611,58618,51382496
37668,44533,51366962
2356,3479,51268790
2165,3278,51130743
16135,20208,51107633
39956,46884,51018580
47578,54584,50856748
43333,50339,50767722
49476,56482,50618070
12902,16274,50584653
61322,20863,50420467
48257,55263,50306432
54412,61419,50248303
49631,56637,50121519
24979,31157,49981309
42611,49617,49972748
44436,51442,49970779
45239,52245,49887141
45462,52468,49786349
52751,59758,49784891
47100,54106,49710386
31211,37878,49462545
29503,36095,49423031
45399,52405,49405984
44474,51480,49367476
47470,54476,49136805
12697,16022,49105145
44331,51337,49040431
47346,54352,48958470
45397,52403,48942397
653,1641,48938008
43099,50105,48909473
25,161,48898511
48867,55873,48832075
44389,51395,48822082
45384,52390,48819177
39646,46564,48691231
46687,53693,48667478
11938,15079,48558749
61186,19900,48486626
42435,49441,48478899
52555,59562,48333214
43094,50100,48314659
52678,59685,48310856
52839,59846,48303079
40004,46935,48250237
45683,52689,48246260
48654,55660,48225474
44472,51478,48205713
49537,56543,48157977
64556,9656,48154318
46644,53650,48024686
